3.0000000000000000,UWG,Location Summary,,,,,,,,,,,,,,,,,,,
UWG,City,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,,
BLD6PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7.0000000000000000,8.0000000000000000,,
BLD6PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,,
BLD6PRE,RvalWall,,R-value (m2·K / W),0.7656967840735070,0.7656967840735070,0.7656967840735070,0.7824726134585290,0.7656967840735070,0.7656967840735070,0.7861635220125790,0.9891196834817010,0.9569377990430620,1.0060362173038200,1.1286681715575600,1.0940919037199100,1.2150668286755800,1.2150668286755800,1.2953367875647700,1.4084507042253500,,
BLD6PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,,
BLD6PRE,RvalRoof,,R-value (m2·K / W),1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,1.7574692442882300,2.0449897750511200,1.9762845849802400,2.0703933747412000,2.5000000000000000,2.3696682464455000,2.9850746268656700,2.9850746268656700,2.9325513196480900,2.9850746268656700,,
BLD6PRE,Uwindow,,U-Factor (W / m2·K),5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,5.8350000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000,3.5250000000000000,,
BLD6PRE,SHGC,,SHGC,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.5400000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000,0.4070000000000000,,
BLD6PRE,HVAC,,Air Conditioning (kW),218.2419200000000000,234.6495400000000000,264.4850800000000000,252.1758200000000000,155.9295600000000000,223.9576200000000000,140.4044700000000000,257.8045400000000000,193.7969100000000000,173.1503100000000000,310.8604000000000000,254.9565000000000000,349.6901300000000000,271.7845200000000000,371.2555500000000000,344.8838800000000000,,73.3652312599681000
BLD6PRE,HEAT,,Heating (kW),106.4603400000000000,211.5329100000000000,157.5712600000000000,256.1307700000000000,123.8699000000000000,197.4416000000000000,157.1550100000000000,285.0361600000000000,234.9752100000000000,219.7706600000000000,352.7569800000000000,295.5390700000000000,395.1899400000000000,373.6131500000000000,414.5649100000000000,554.7994300000000000,,
BLD6PRE,COP,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_COOLCOIL,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,3.3900000000000000,,
