1.0000000000000000,Building Summary Secondary School pre-1980 construction,,,,
UWG,,,Value,Value,Value
areaFloor,,Total Floor Area (m2),19592.0000000000000000,19592.0000000000000000,19592.0000000000000000
nFloor,,Number of Floors,2.0000000000000000,2.0000000000000000,2.0000000000000000
glazing,,Total,0.3400000000000000,0.3400000000000000,0.3400000000000000
hCeiling,,Floor to Ceiling Height (m),4.0000000000000000,4.0000000000000000,4.0000000000000000
areaWall,,Gross Dimensions - Total Area (m2),6384.0000000000000000,6384.0000000000000000,6384.0000000000000000
ver2hor,,Wall to Skin Ratio,0.3500000000000000,0.3500000000000000,0.3500000000000000
areaRoof,,Gross Dimensions - Total Area (m2),11902.0000000000000000,11902.0000000000000000,11902.0000000000000000
areaWindow,,Total Area (m2),2089.1700000000000000,2089.1700000000000000,2089.1700000000000000
