1,Building Summary Quick Service Restaurant new construction,,,,
UWG,,,Value,Value,Value
areaFloor,,Total Floor Area (m2),232,232,232
nFloor,,Number of Floors,1.00,1.00,1.00
glazing,,Total,0.14,0.14,0.14
hCeiling,,Floor to Ceiling Height (m),3.048,3.048,3.048
areaWall,,Gross Dimensions - Total Area (m2),185.9,185.9,185.9
ver2hor,,Wall to Skin Ratio,0.44,0.42,0.42
areaRoof,,Gross Dimensions - Total Area (m2),258.86,258.86,258.86
areaWindow,,Total Area (m2),26.03,26.03,26.03
