4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip,WD,BLDG_EQUIP_SCH,Fraction,Through 12/31,WD,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.5,0.4,0.4,0.4,0.4,0.4,0.4,14.1,78.95,4116.68
,Sat,,,,Sat,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.45,,
,Sun,,,,Other,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.2,,
SchLight,WD,BLDG_LIGHT_SCH,Fraction,Through 12/31,WD,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.3,0.3,0.2,0.2,0.1,0.05,10.5,55.3,2883.5
,Sat,,,,Sat,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.3,0.3,0.3,0.3,0.15,0.15,0.15,0.15,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2.8,,
,Sun,,,,Other,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.2,,
SchOcc,WD,,,,WD,0,0,0,0,0,0,0.1,0.2,0.95,0.95,0.95,0.95,0.5,0.95,0.95,0.95,0.95,0.3,0.1,0.1,0.05,0.05,0.05,0.05,9.1,,
,Sat,,,,Sat,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,1.9,,
,Sun,,,,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SetCool,WD,CLGSETP_SCH,Temperature,Through 12/31,"WD, SummerDesign",26.7,26.7,26.7,26.7,26.7,26.7,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26.7,26.7,597.6,3596.4,187526.57
,Sat,,,,Sat,26.7,26.7,26.7,26.7,26.7,26.7,24,24,24,24,24,24,24,24,24,24,24,24,26.7,26.7,26.7,26.7,26.7,26.7,608.4,,
,Sun,,,,Other,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,640.8,,
SetHeat,WD,HTGSETP_SCH,Temperature,Through 12/31,WD,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,460.8,2743.2,143038.29
,Sat,,,,Sat,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,15.6,15.6,15.6,15.6,439.2,,
,Sun,,,,Other,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,374.4,,
SchGas,WD,,Fraction,Through 12/31,"WD, SummerDesign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,29.42,1534.04
,Sat,,,,"Sat, WinterDesign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,,
,Sun,,,,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,,
SchSWH,WD,BLDG_SWH_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.05,0.05,0.05,0.05,0.05,0.08,0.07,0.19,0.35,0.38,0.39,0.47,0.57,0.54,0.34,0.33,0.44,0.26,0.21,0.15,0.17,0.08,0.05,0.05,,,
,Sat,,,,"Sat, WinterDesign",0.05,0.05,0.05,0.05,0.05,0.08,0.07,0.11,0.15,0.21,0.19,0.23,0.2,0.19,0.15,0.13,0.14,0.07,0.07,0.07,0.07,0.09,0.05,0.05,,,
,Sun,,,,Other,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.09,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,,,
