1,Building Summary Supermarket pre-1980 construction,,,,
UWG,,,Value,Value,Value
areaFloor,,Total Floor Area (m2),"4,181","4,181","4,181"
nFloor,,Number of Floors,1,1,1
glazing,,Total Glazing,0.109,0.109,0.109
hCeiling,,Floor to Ceiling Height (m),6.1,6.1,6.1
areaWall,,Gross Dimensions - Total Area (m2),"1,610","1,610","1,610"
ver2hor,,Wall to Skin Ratio,0.28,0.28,0.28
areaRoof,,Gross Dimensions - Total Area (m2),"4,181","4,181","4,181"
areaWindow,,Window Total,174.7,174.7,174.7
