4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip,WD,BLDG_EQUIP_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.3,0.3,0.3,0.3,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.3,0.3,0.3,0.3,16.4,102.6,5349.86
,Sat,,,,Sat,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,11.6,,
,Sun,,,,Other,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9,,
SchLight,WD,BLDG_LIGHT_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.3,0.3,0.1,0.1,13.5,74.75,3897.68
,Sat,,,,Sat,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,5.6,,
,Sun,,,,Other,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.65,,
SchOcc,WD,BLDG_OCC_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.05,0.05,0.05,0.05,0.2,0.2,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.5,0.2,0.2,0.05,0.05,12.5,66.7,3477.93
,Sat,,,,Sat,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.05,0.05,0.05,0.05,3.75,,
,Sun,,,,Other,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0.45,,
SetCool,WD,CLGSETP_SCH,Temperature,Through 12/31,"WD, SummerDesign",25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,563.6,3995.6,208342
,Sat,,,,"Sat, WinterDesign",25,25,25,25,25,25,25,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,25,25,25,25,25,25,25,25,25,577.6,,
,Sun,,,,Other,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,600,,
SetHeat,WD,HTGSETP_SCH,Temperature,Through 12/31,"WD, SummerDesign",18.3,18.3,18.3,18.3,18.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.3,18.3,18.3,18.3,18.3,18.3,475.6,3278.8,170966
,Sat,,,,"Sat, WinterDesign",18.3,18.3,18.3,18.3,18.3,18.3,18.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,461.6,,
,Sun,,,,Other,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,439.2,,
SchGas,WD,BLDG_SWH_SCH,Fraction,Through 12/31,"WD, SummerDesign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,41.88,2183.74
,Sat,,,,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,,
,Sun,,,,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,,
SchSWH,WD,BLDG_SWH_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.58,0.66,0.78,0.82,0.71,0.82,0.78,0.74,0.63,0.41,0.18,0.18,0.18,0.1,0.01,0.01,,,
,Sat,,,,Sat,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.28,0.3,0.3,0.24,0.24,0.23,0.23,0.23,0.1,0.01,0.01,0.01,0.01,0.01,0.01,,,
,Sun,,,,Other,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,
