3.00,,Location Summary,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD10PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD10PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD10PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD10PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD10PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD10PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD10PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD10PRE,HVAC,,Air Conditioning (kW),"2,508.29","2,586.82","2,658.08","2,587.06","2,080.65","2,385.75","1,986.27","2,476.03","1,843.24","1,801.63","2,087.80","1,584.30","2,001.47","1,394.54","1,900.45","1,484.39"
BLD10PRE,HEAT,,Heating (kW),"2,274.16","2,965.04","2,586.77","3,207.32","2,291.88","2,726.67","2,675.97","3,499.55","2,759.92","2,984.18","3,927.99","3,174.75","4,238.43","3,871.50","4,331.29","5,476.77"
BLD10PRE,COP,,Air Conditioning (COP),3.15,3.15,3.15,3.15,3.16,3.15,3.15,3.15,3.15,3.15,3.15,3.19,3.15,3.19,3.18,3.19
BLD10PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD10PRE,Fan,,Fan Max Flow Rate (m3/s ),104.57,108.00,115.33,109.89,99.63,112.45,118.31,103.88,101.53,99.83,86.71,83.33,83.35,82.47,80.83,92.16
BLD10PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD10PST,RvalWall,,R-value (m2·K / W),0.32,1.17,0.73,1.36,0.80,1.10,1.36,1.98,1.76,1.92,2.15,2.15,2.71,2.44,3.04,3.91
BLD10PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD10PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BLD10PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96
