4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip,WD,BLDG_EQUIP_SCH,Fraction,Through 12/31,WD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.4,0.1,0.1,0.1,0.1,0.1,0.1,10.1,56.3,2935.64
,Sat,,,,Sat,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.4,,
,Sun,,,,"Sun, Hol, Other",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.4,,
SchLight,WD,BLDG_LIGHT_SCH,Fraction,Through 12/31,WD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,9.8,54.22,2827.19
,Sat,,,,Sat,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.24,0.24,0.24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.82,,
,Sun,,,,"Sun, Hol, Other",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.4,,
SchOcc,WD,BLDG_OCC_SCH,Fraction,Through 12/31,WD,0,0,0,0,0,0,0,0.15,0.7,0.9,0.9,0.9,0.5,0.85,0.85,0.85,0.2,0,0,0,0,0,0,0,6.8,35.2,1835.43
,Sat,,,,Sat,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,1.2,,
,Sun,,,,"Sun, Hol, Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SetCool,WD,CLGSETP_SCH,Temperature,Through 12/31,"WD, SummerDesign",30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,660,3972,207111.43
,Sat,,,,Sat,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,672,,
,Sun,,,,Other,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,720,,
SetHeat,WD,HTGSETP_SCH,Temperature,Through 12/31,WD,15.5,15.5,15.5,15.5,15.5,15.5,21,21,21,21,21,21,21,21,21,21,21,15.5,15.5,15.5,15.5,15.5,15.5,15.5,432.5,2584,134737.14
,Sat,,,,Sat,15.5,15.5,15.5,15.5,15.5,15.5,15.5,21,21,21,21,21,21,21,21,21,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,421.5,,
,Sun,,,,Other,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,372,,
SchGas,WD,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sat,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sun,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
SchSWH,WD,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sat,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Sun,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
