1.0000000000000000,Building Summary Large Office pre-1980 construction,,,,,
UWG,,,PRE80,PST80,NEW,
areaFloor,,Total Floor Area (m2),46320.0000000000000000,46320.0000000000000000,46320.0000000000000000,
nFloor,,Number of Floors,12.0000000000000000,12.0000000000000000,12.0000000000000000,* Not including basement
glazing,,Total,0.3800000000000000,0.3800000000000000,0.3800000000000000,
hCeiling,,Floor to Ceiling Height (m),2.7400000000000000,2.7400000000000000,2.7400000000000000,
areaWall,,Gross Dimensions - Total Area (m2),11589.7200000000000000,11589.7200000000000000,11589.7200000000000000,
ver2hor,,Wall to Skin Ratio,0.7650000000000000,0.7650000000000000,0.7650000000000000,
areaRoof,,Gross Dimensions - Total Area (m2),3563.0000000000000000,3563.0000000000000000,3563.0000000000000000,
areaWindow,,Total Area (m2),4636.1600000000000000,4636.1600000000000000,4636.1600000000000000,
