1,Building Summary Midrise Apartment pre-1980 construction,,,,
UWG,,,Value,Value,Value
areaFloor,,Total Floor Area (m2),"3,135","3,135","3,135"
nFloor,,Number of Floors,4,4,4
glazing,,Total,0.15,0.15,0.15
hCeiling,,Floor to Ceiling Height (m),3.05,3.05,3.05
areaWall,,Gross Dimensions - Total Area (m2),"1,542","1,542","1,542"
ver2hor,,Wall to Skin Ratio,0.66,0.66,0.66
areaRoof,,Gross Dimensions - Total Area (m2),784,784,784
areaWindow,,Total Area (m2),231.1,231.1,231.1
