3,,Location Summary,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD15PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD15PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD15PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD15PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD15PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD15PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525
BLD15PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407
BLD15PRE,HVAC,,Air Conditioning (kW),423.85,610.87,549.94,687.70,433.13,610.92,385.35,719.11,667.05,504.73,836.67,734.36,910.74,675.27,925.92,832.91
BLD15PRE,HEAT,,Heating (kW),530.01,800.47,681.70,898.01,573.83,765.75,639.82,974.62,837.08,802.57,1160.93,994.09,1271.83,1208.58,1329.70,1789.14
BLD15PRE,COP,,Air Conditioning (COP),3.28,3.21,3.21,3.21,3.29,3.20,3.31,3.20,3.20,3.22,3.20,3.19,3.20,3.20,3.19,3.20
BLD15PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD15PRE,Fan,,Fan Max Flow Rate (m3/s ),19.33,26.76,24.85,30.24,20.98,28.11,22.62,31.18,33.21,26.96,36.17,37.86,39.23,42.10,41.71,52.09
BLD15PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD15PST,RvalWall,,R-value (m2·K / W),0.42,0.52,0.43,0.61,0.42,0.61,0.42,1.47,0.93,1.76,1.76,1.26,2.48,2.23,2.89,3.75
BLD15PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD15PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BLD15PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956
BLD15PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616
BLD15PST,HVAC,,Air Conditioning (kW),431.27,596.92,521.78,667.51,450.12,529.98,391.53,678.33,498.98,472.31,806.95,586.64,871.44,639.00,867.72,758.47
BLD15PST,HEAT,,Heating (kW),534.96,784.32,660.41,877.36,594.80,729.95,649.02,944.35,797.00,773.30,1135.62,954.03,1237.01,1157.10,1258.74,1662.20
