3,,Location Summary,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD15PST,COP,,Air Conditioning (COP),3.28,3.21,3.21,3.21,3.27,3.22,3.31,3.20,3.24,3.23,3.20,3.23,3.20,3.21,3.21,3.20
BLD15PST,EffHeat,,Heating Efficiency (%),0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD15PST,Fan,,Fan Max Flow Rate (m3/s ),19.54,26.19,23.98,29.43,21.73,26.62,22.96,29.75,31.51,25.76,34.96,36.12,37.57,39.98,39.03,47.59
BLD15NEW,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD15NEW,RvalWall,,R-value (m2·K / W),0.42,0.42,0.42,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.43,1.43,1.69,1.69,1.96,2.20
BLD15NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD15NEW,RvalRoof,,R-value (m2·K / W),2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.85,2.85,2.85,2.85,2.79,3.72
BLD15NEW,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615
BLD15NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296
BLD15NEW,HVAC,,Air Conditioning (kW),322.50,415.01,399.92,432.41,294.19,398.17,262.59,446.19,410.41,325.31,498.84,456.45,530.19,441.11,525.91,408.19
BLD15NEW,HEAT,,Heating (kW),433.88,620.24,544.04,657.85,448.09,565.64,484.57,721.17,618.60,599.82,843.69,725.41,913.86,853.88,914.98,1091.00
BLD15NEW,COP,,Air Conditioning (COP),3.29,3.30,3.28,3.29,3.35,3.29,3.37,3.29,3.25,3.31,3.22,3.24,3.22,3.25,3.22,3.30
BLD15NEW,EffHeat,,Heating Efficiency (%),0.79,0.78,0.78,0.78,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD15NEW,Fan,,Fan Max Flow Rate (m3/s ),15.36,19.35,19.04,19.93,15.59,19.38,16.19,20.46,22.42,18.44,22.61,24.43,23.88,25.7,24.38,26.44
