4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip,WD,BLDG_EQUIP_SCH,Fraction,Through 12/31,WD,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.4,0.2,0.2,13.9,91.6,4776.29
,Sat,,,,Sat,0.15,0.15,0.15,0.15,0.15,0.15,0.3,0.3,0.5,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.5,0.5,0.3,0.15,0.15,12.3,,
,Sun,,,,"Sun, Hol, Other",0.15,0.15,0.15,0.15,0.15,0.15,0.3,0.3,0.3,0.3,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.4,0.4,0.4,0.4,0.15,0.15,9.8,,
SchLight,WD,BLDG_LIGHT_SCH,Fraction,Through 12/31,WD,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.5,0.2,0.05,0.05,11.3,72.2,3764.71
,Sat,,,,Sat,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.3,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.3,0.3,0.1,0.05,0.05,9.9,,
,Sun,,,,"Sun, Hol, Other",0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.4,0.2,0.2,0.2,0.2,0.05,0.05,5.8,,
SchOcc,WD,BLDG_OCC_SCH,Fraction,Through 12/31,WD,0,0,0,0,0,0,0.1,0.1,0.2,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.7,0.5,0.5,0.3,0.3,0.3,0,0,7.6,49,2555
,Sat,,,,Sat,0,0,0,0,0,0,0.1,0.1,0.2,0.5,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.2,0.2,0.2,0.1,0,0,7.6,,
,Sun,,,,"Sun, Hol, Other",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0,0,3.4,,
SetCool,WD,,,,Other,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,624,,
,Sat,,,,Other,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,,,
,Sun,,,,Other,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,,,
SetHeat,WD,,,,Other,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,460.8,,
,Sat,,,,Other,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,,,
,Sun,,,,Other,15.6,15.6,15.6,15.6,15.6,15.6,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15.6,15.6,,,
SchGas,WD,BLDG_SWH_SCH,Fraction,Through 12/31,"WD, SummerDesign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,44.59,2325.05
,Sat,,,,"Sat, WinterDesign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,,
,Sun,,,,"Sun, Hol, Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,,
SchSWH,WD,BLDG_SWH_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.15,0.23,0.32,0.41,0.57,0.62,0.61,0.5,0.45,0.46,0.47,0.42,0.34,0.33,0.23,0.13,0.08,6.62,44.59,2325.05
,Sat,,,,"Sat, WinterDesign",0.11,0.1,0.08,0.06,0.06,0.06,0.07,0.2,0.24,0.27,0.42,0.54,0.59,0.6,0.49,0.48,0.47,0.46,0.44,0.36,0.29,0.22,0.16,0.13,6.9,,
,Sun,,,,"Sun, Hol, Other",0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.1,0.12,0.14,0.29,0.31,0.36,0.36,0.34,0.35,0.37,0.34,0.25,0.27,0.21,0.16,0.1,0.06,4.59,,
