1.0000000000000000,,Zone Summary,,,,,,,,,,,,,,,,,,
UWG,UWG,Zone Name,Conditioned (Y/N),Multiplier,Area (m2),Volume (m3),Floor-to-Ceiling Height (m),Gross Wall Area  (m2),Window Glass Area (m2),People (m2/per),People,Lights (W/m2),Elec Plug and Process (W/m2),Gas Plug and Process (W/m2),SWH (L/h),Ventilation (L/s/Person),Ventilation (L/s/m2),Ventilation Total (L/s),Exhaust (L/s),Infiltration (ACH)
BLD2PRE,Total,Building Total Conditioned Zones,,,22422.1768480000000000,88864.1522246334000000,,5184.3248163955500000,845.5407855331250000,,1291.1824133399300000,21.9081652476615000,17.4152406947677000,12.6347948186342000,1037.1996000000000000,6.7018345051276200,1.8146280101674700,,,0.2210886011982410
BLD2PST,Total,Building Total Conditioned Zones,,,22422.1768480000000000,88864.1522246334000000,,5184.3248163955500000,845.5407855331250000,,1291.1824133399300000,21.9081652476615000,17.4152406947677000,12.6347948186342000,1037.1996000000000000,6.7018345051276200,1.8146280101674700,,,0.2210886011982410
BLD2NEW,Total,Building Total Conditioned Zones,,,22422.1768480000000000,88864.1522246334000000,,5184.3248163955500000,845.5407855331250000,,1291.1824133399300000,12.0580779855766000,17.4152406947677000,12.6347948186342000,1037.1996000000000000,6.7018345051276200,1.8146280101674700,,,0.0589569603195309
