UWG,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,HVACOperationSchd,On/Off,Through 12/31,All,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,MinOA_Sched,Fraction,Through 12/31,All,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,Kitchen_Case:1_WALKINFREEZER_CaseCreditReduxSched,Fraction,Through 12/31,All,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2
,,Kitchen_Case:1_WALKINFREEZER_CaseDefrost2aDaySched,On/Off,Through 12/31,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kitchen_Case:1_WALKINFREEZER_CaseDripDown2aDaySched,On/Off,Through 12/31,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kitchen_Case:1_WALKINFREEZER_WalkInStockingSched,Any Number,Through 12/31,"Tue, Fri",0,0,0,0,725,417,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Other,0,0,0,0,125,117,90,0,0,0,0,0,0,0,0,0,0,0,0,125,117,90,0,0
,,Kitchen_Case:2_SELFCONTAINEDDISPLAYCASE_CaseStockingSched,Any Number,Through 12/31,All,0,0,0,0,0,0,50,70,70,80,70,50,50,80,90,80,0,0,0,0,0,0,0,0
SchWater,WD,BLDG_SWH_SCH,Fraction,Through 12/31,"WD, SummerDesign",0.2,0,0,0,0,0,0.15,0.6,0.55,0.45,0.4,0.45,0.4,0.35,0.3,0.3,0.3,0.4,0.55,0.6,0.5,0.55,0.45,0.25
,Sat,,,,"Sat, WinterDesign",0.2,0,0,0,0,0,0.15,0.15,0.15,0.5,0.45,0.5,0.5,0.45,0.4,0.4,0.35,0.4,0.55,0.55,0.5,0.55,0.4,0.3
,Sun,,,,"Sun, Hol, Other",0.25,0,0,0,0,0,0.15,0.15,0.15,0.15,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.5,0.4,0.2
,,Kitchen Water Equipment Hot Supply Temp Sched,Temperature,Through 12/31,All,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
,,Kitchen Water Equipment Latent fract sched,Fraction,Through 12/31,All,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,,Kitchen Water Equipment Sensible fract sched,Fraction,Through 12/31,All,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,Kitchen Water Equipment Temp Sched,Temperature,Through 12/31,All,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
,,PlantOnSched,On/Off,Through 12/31,All,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,SWHSys1 Water Heater Ambient Temperature Schedule Name,Temperature,Through 12/31,All,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
,,SWHSys1 Water Heater Setpoint Temperature Schedule Name,Temperature,Through 12/31,All,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
,,SWHSys1-Loop-Temp-Schedule,Temperature,Through 12/31,All,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
