1,Building Summary Full Service Restaurant,,,,
UWG,,,Value,Value,Value
areaFloor,,Total Floor Area (m2),511,511,511
nFloor,,Number of Floors,1,1,1
glazing,,Total,0.1820,0.1820,0.1820
hCeiling,,Floor to Ceiling Height (m),3.0,3.0,3.0
areaWall,,Gross Dimensions - Total Area (m2),276,276,276
ver2hor,,Wall to Skin Ratio,0.35,0.33,0.33
areaRoof,,Gross Dimensions - Total Area (m2),570,570,570
areaWindow,,Total Area (m2),50.2,50.2,50.2
