Building,UWG,Location Summary,,,,,,,,,,,,,,,,,
,,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD1PST,,,PSZ-AC_2:2_COOLC DXCOIL,26.27,21.89,22.36,22.35,19.62,21.23,11.20,19.87,17.79,13.07,19.63,15.84,19.04,13.75,17.33,11.58
BLD1PST,HEAT,,Heating (kW),169.55,198.56,169.94,213.71,159.24,178.71,154.64,224.16,194.43,187.59,258.80,222.61,274.94,258.16,272.38,332.46
BLD1PST,,,PSZ-AC_1:1_HEATC,128.59,153.51,131.10,164.09,127.42,138.86,126.52,175.05,147.84,150.01,202.11,169.69,215.54,199.51,217.03,263.75
BLD1PST,,,PSZ-AC_2:2_HEATC,40.96,45.05,38.83,49.63,31.82,39.85,28.12,49.10,46.59,37.58,56.69,52.92,59.40,58.65,55.35,68.71
BLD1PST,,,HVAC Efficiency,,,,,,,,,,,,,,,,
BLD1PST,COP,,Air Conditioning (COP),3.289233291,3.28547401,3.286684236,3.286193316,3.279318242,3.284990649,3.360271009,3.284668831,3.316255845,3.362484857,3.284382414,3.368830619,3.318452755,3.373326858,3.31535896,3.375643347
BLD1PST,,,PSZ-AC_1:1_COOLC DXCOIL,3.23,3.23,3.23,3.23,3.23,3.23,3.3,3.23,3.23,3.3,3.23,3.3,3.23,3.3,3.23,3.3
BLD1PST,,,PSZ-AC_2:2_COOLC DXCOIL,3.5,3.5,3.5,3.5,3.5,3.5,3.67,3.5,3.67,3.67,3.5,3.67,3.67,3.67,3.67,3.67
BLD1PST,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PST,,,PSZ-AC_1:1_HEATC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PST,,,PSZ-AC_2:2_HEATC,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.78
BLD1PST,,,HVAC Control - Economizer,,,,,,,,,,,,,,,,
BLD1PST,,,PSZ-AC_1:1_FAN,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb
BLD1PST,,,PSZ-AC_2:2_FAN,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer
BLD1PST,Fan,,Fan Max Flow Rate (m3/s ),6.71,6.18,6.18,6.21,6.22,6.08,5.52,5.84,6.44,5.63,5.81,6.22,5.71,5.93,5.49,5.31
BLD1PST,,,DINING EXHAUST FAN,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
BLD1PST,,,KITCHEN EXHAUST FAN,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
BLD1PST,,,PSZ-AC_1:1_FAN,3.76,3.41,3.39,3.42,3.54,3.34,3,3.15,3.59,3.03,3.13,3.42,3.05,3.21,2.9,2.72
BLD1PST,,,PSZ-AC_2:2_FAN,1.06,0.88,0.9,0.9,0.79,0.85,0.63,0.8,0.96,0.71,0.79,0.91,0.77,0.83,0.7,0.7
BLD1PST,,Utility Costs,,,,,,,,,,,,,,,,,
BLD1PST,,,Electric Utility Rates,,,,,,,,,,,,,,,,
BLD1PST,,,Average Annual Rate ($/kWh),0.07708,0.10688,0.09544,0.10345,0.12366,0.09401,0.14434,0.06625,0.03745,0.07224,0.05207,0.03750,0.05176,0.06803,0.05071,0.08712
BLD1PST,,,Total Cost ($/m2),68.19,80.73,73.13,71.98,85.61,68.36,89.87,44.48,27.08,45.22,34.09,24.58,33.56,43.43,31.68,53.65
BLD1PST,,,Gas Utility Rates,,,,,,,,,,,,,,,,
BLD1PST,,,Average Annual Rate ($/MJ),0.01147,0.00819,0.00857,0.01058,0.00841,0.00810,0.00843,0.00998,0.00715,0.00832,0.00874,0.00713,0.00793,0.00857,0.00793,0.00417
BLD1PST,,,Total Cost ($/m2),21.99,19.36,19.04,29.57,18.53,20.02,23.58,34.08,20.53,28.1,34.35,24.43,35.29,34.89,40.31,28.45
BLD1PST,,,Total Utility Costs,,,,,,,,,,,,,,,,
BLD1PST,,,Cost Intensity ($/m2),90.17,100.09,92.17,101.55,104.14,88.39,113.45,78.56,47.61,73.32,68.44,49.01,68.85,78.31,71.98,82.1
BLD1PST,,Energy - End Uses,,,,,,,,,,,,,,,,,
BLD1PST,,,Electricity (kWh),,,,,,,,,,,,,,,,
BLD1PST,,,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Cooling,"103,127.78","64,413.89","70,072.22","34,358.33","11,572.22","51,372.22","3,163.89","25,441.67","25,677.78","4,316.67","17,397.22","14,694.44","15,097.22","8,519.44","5,141.67","2,033.33"
BLD1PST,,,Interior Lighting,"80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00"
BLD1PST,,,Exterior Lighting,"22,216.67","22,177.78","22,172.22","22,208.33","22,202.78","22,183.33","22,158.33","22,180.56","22,177.78","22,144.44","22,150.00","22,155.56","22,169.44","22,141.67","22,136.11","22,002.78"
BLD1PST,,,Interior Equipment,"166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78"
BLD1PST,,,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Fans,"61,208.33","34,538.89","34,541.67","34,827.78","55,802.78","33,791.67","29,300.00","31,811.11","58,000.00","30,183.33","31,636.11","34,852.78","30,825.00","32,633.33","29,247.22","28,330.56"
BLD1PST,,,Refrigeration,"18,741.67","18,050.00","17,972.22","17,333.33","17,369.44","17,458.33","16,725.00","16,861.11","16,805.56","16,438.89","16,527.78","16,438.89","16,377.78","16,116.67","15,883.33","15,508.33"
BLD1PST,,,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Total End Uses,"452,197.22","386,086.11","391,663.89","355,633.33","353,855.56","371,711.11","318,252.78","343,200.00","369,566.67","319,986.11","334,616.67","335,047.22","331,372.22","326,313.89","319,313.89","314,780.56"
BLD1PST,,,Gas (MJ),,,,,,,,,,,,,,,,
BLD1PST,,,Heating,"12,500.00","209,590.00","154,640.00","398,730.00","101,670.00","260,120.00","379,000.00","691,280.00","418,030.00","659,640.00","934,730.00","676,260.00","1,180,050.00","984,610.00","1,475,190.00","2,327,680.00"
BLD1PST,,,Interior Equipment,"800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00"
BLD1PST,,,Water Systems,"166,550.00","198,430.00","180,100.00","229,140.00","223,190.00","202,170.00","249,470.00","253,280.00","248,710.00","265,850.00","274,470.00","273,370.00","292,790.00","296,110.00","322,990.00","359,540.00"
BLD1PST,,,Total End Uses,"979,980.00","1,208,940.00","1,135,670.00","1,428,800.00","1,125,780.00","1,263,210.00","1,429,390.00","1,745,480.00","1,467,660.00","1,726,420.00","2,010,130.00","1,750,550.00","2,273,760.00","2,081,640.00","2,599,100.00","3,488,150.00"
BLD1PST,,,Total Building (MJ),"2,607,890","2,598,850","2,545,660","2,709,080","2,399,650","2,601,370","2,575,100","2,981,010","2,798,090","2,878,370","3,214,750","2,956,710","3,466,700","3,256,370","3,748,630","4,621,360"
BLD1PST,,Energy - End Use Intensities,,,,,,,,,,,,,,,,,
BLD1PST,,,Electricity (MJ/m2),,,,,,,,,,,,,,,,
BLD1PST,,,Heating (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Cooling (elec),726.32,453.66,493.51,241.98,81.50,361.81,22.28,179.18,180.85,30.40,122.53,103.49,106.33,60.00,36.21,14.32
BLD1PST,,,Interior Lighting (elec),566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96
BLD1PST,,,Exterior Lighting (elec),156.47,156.20,156.16,156.41,156.37,156.24,156.06,156.22,156.20,155.96,156.00,156.04,156.14,155.94,155.90,154.96
BLD1PST,,,Interior Equipment (elec),1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97
BLD1PST,,,Exterior Equipment (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Fans (elec),431.09,243.26,243.27,245.29,393.02,237.99,206.36,224.04,408.49,212.58,222.81,245.47,217.10,229.83,205.99,199.53
BLD1PST,,,Refrigeration (elec),132.00,127.13,126.58,122.08,122.33,122.96,117.79,118.75,118.36,115.78,116.40,115.78,115.35,113.51,111.87,109.22
BLD1PST,,,Generators (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Total End Uses,3184.80,2719.18,2758.47,2504.71,2492.18,2617.94,2241.44,2417.14,2602.84,2253.64,2356.69,2359.72,2333.84,2298.21,2248.91,2216.98
BLD1PST,,,Gas (MJ/m2),,,,,,,,,,,,,,,,
BLD1PST,,,Heating (gas),24.45,410.04,302.53,780.06,198.90,508.89,741.47,1352.40,817.82,1290.50,1828.68,1323.02,2308.62,1926.26,2886.02,4553.81
BLD1PST,,,Interior Equipment (gas),1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90
BLD1PST,,,Water Systems (gas),325.83,388.20,352.34,448.28,436.64,395.52,488.06,495.51,486.57,520.10,536.97,534.81,572.81,579.30,631.89,703.39
BLD1PST,,,Total End Uses,1917.21,2365.14,2221.79,2795.27,2202.45,2471.31,2796.42,3414.81,2871.29,3377.52,3932.56,3424.73,4448.32,4072.46,5084.81,6824.12
BLD1PST,,,Total Building (MJ/m2),5102.01,5084.32,4980.26,5299.97,4694.61,5089.25,5037.86,5831.97,5474.11,5631.17,6289.25,5784.43,6782.16,6370.67,7333.72,9041.10
BLD1PST,,Peak Energy Demand,,,,,,,,,,,,,,,,,
BLD1PST,,,Electricity Peak Demand (kW),,,,,,,,,,,,,,,,
BLD1PST,,,Jan,72.06,61.66,56.91,51.35,63.39,49.73,49.12,49.50,53.44,49.23,49.36,50.29,49.16,49.45,48.91,50.25
BLD1PST,,,Feb,74.17,59.76,60.14,52.26,62.99,49.92,51.35,49.40,54.30,49.21,49.33,49.80,49.13,49.53,48.94,48.69
BLD1PST,,,Mar,73.99,63.58,66.50,54.91,60.37,53.71,49.09,56.59,54.48,49.21,50.38,54.29,49.19,49.49,48.90,48.73
BLD1PST,,,Apr,77.60,68.68,69.13,60.40,66.14,66.80,50.56,53.95,63.31,48.31,47.95,53.61,51.69,48.32,45.48,48.66
BLD1PST,,,May,80.97,76.72,82.42,70.25,62.47,73.71,52.83,62.77,69.12,52.52,61.90,60.57,69.15,55.31,52.28,48.08
BLD1PST,,,Jun,84.38,77.18,89.03,72.25,59.81,85.93,54.01,75.29,75.30,56.45,72.15,68.17,71.57,65.98,60.47,56.83
BLD1PST,,,Jul,83.50,78.79,86.49,79.03,63.87,84.13,62.23,76.37,77.49,59.03,74.48,68.05,72.04,66.19,66.69,57.85
BLD1PST,,,Aug,84.61,78.48,87.73,75.12,70.20,81.95,57.04,75.53,73.11,57.66,73.22,68.69,71.52,64.63,63.49,54.66
BLD1PST,,,Sep,82.59,76.91,81.45,67.72,75.65,77.77,63.47,64.15,67.59,68.05,63.19,63.74,57.71,61.21,53.85,48.85
BLD1PST,,,Oct,82.12,72.84,70.67,63.57,67.78,68.48,55.81,63.37,65.25,53.67,57.50,57.84,55.71,54.42,53.62,48.81
BLD1PST,,,Nov,78.04,68.54,64.83,53.09,63.05,51.47,49.55,56.84,55.24,49.77,57.29,50.79,49.51,49.53,49.03,48.72
BLD1PST,,,Dec,71.98,66.53,55.08,51.05,64.38,50.17,49.13,49.49,52.98,49.21,49.38,49.79,49.16,49.45,48.91,50.33
BLD1PST,,,Time of Peak Electrical Demand,,,,,,,,,,,,,,,,
BLD1PST,,,Jan,06-JAN-12:15,20-JAN-18:15,28-JAN-18:15,23-JAN-18:15,26-JAN-12:00,18-JAN-16:00,15-JAN-17:15,09-JAN-07:30,25-JAN-17:30,14-JAN-07:45,18-JAN-07:15,27-JAN-17:15,16-JAN-07:45,10-JAN-07:00,16-JAN-07:45,01-JAN-11:15
BLD1PST,,,Feb,23-FEB-12:15,22-FEB-18:15,28-FEB-18:30,18-FEB-18:30,12-FEB-12:00,08-FEB-17:15,15-FEB-18:15,15-FEB-17:45,14-FEB-17:45,21-FEB-18:15,27-FEB-18:45,11-FEB-17:30,18-FEB-07:15,02-FEB-17:30,28-FEB-17:00,21-FEB-08:30
BLD1PST,,,Mar,13-MAR-11:00,25-MAR-17:30,17-MAR-17:15,28-MAR-17:30,30-MAR-11:00,30-MAR-17:00,22-MAR-06:15,09-MAR-18:00,01-MAR-18:30,13-MAR-06:30,14-MAR-17:00,26-MAR-16:45,23-MAR-06:15,09-MAR-18:30,18-MAR-06:15,09-MAR-07:30
BLD1PST,,,Apr,01-APR-17:15,29-APR-17:15,01-APR-17:15,14-APR-17:15,11-APR-17:15,21-APR-17:15,29-APR-11:00,05-APR-17:15,21-APR-17:15,29-APR-17:15,28-APR-16:15,24-APR-11:00,16-APR-17:15,06-APR-17:15,14-APR-10:15,01-APR-06:15
BLD1PST,,,May,23-MAY-11:00,26-MAY-17:30,28-MAY-16:00,31-MAY-17:30,29-MAY-11:00,31-MAY-17:15,09-MAY-11:00,15-MAY-17:15,31-MAY-17:15,15-MAY-17:15,30-MAY-17:15,23-MAY-17:15,27-MAY-17:15,16-MAY-17:15,31-MAY-17:15,30-MAY-17:15
BLD1PST,,,Jun,26-JUN-10:00,13-JUN-17:30,08-JUN-15:00,19-JUN-17:15,28-JUN-11:00,27-JUN-16:15,16-JUN-11:00,30-JUN-16:00,19-JUN-17:15,27-JUN-17:45,08-JUN-11:00,28-JUN-11:00,29-JUN-17:30,30-JUN-16:15,14-JUN-17:30,20-JUN-17:00
BLD1PST,,,Jul,13-JUL-11:00,30-JUL-15:00,19-JUL-16:00,03-JUL-17:30,29-JUL-10:15,24-JUL-16:15,02-JUL-15:30,25-JUL-10:00,31-JUL-17:30,24-JUL-17:00,14-JUL-11:00,10-JUL-17:30,15-JUL-15:30,21-JUL-16:00,06-JUL-17:00,29-JUL-17:00
BLD1PST,,,Aug,21-AUG-15:30,27-AUG-16:15,01-AUG-16:00,14-AUG-17:15,08-AUG-11:00,04-AUG-16:30,15-AUG-11:00,17-AUG-15:15,01-AUG-17:15,07-AUG-17:15,04-AUG-16:15,30-AUG-11:00,25-AUG-17:15,09-AUG-17:15,11-AUG-17:30,15-AUG-17:15
BLD1PST,,,Sep,06-SEP-11:00,16-SEP-11:00,12-SEP-17:15,05-SEP-17:00,24-SEP-10:00,01-SEP-11:00,28-SEP-15:15,05-SEP-11:00,20-SEP-17:15,02-SEP-15:00,15-SEP-17:00,02-SEP-15:15,14-SEP-11:00,01-SEP-17:15,08-SEP-17:00,19-SEP-06:30
BLD1PST,,,Oct,07-OCT-17:00,29-OCT-17:45,24-OCT-17:45,21-OCT-17:00,19-OCT-10:00,03-OCT-17:30,16-OCT-17:30,20-OCT-17:30,12-OCT-17:45,17-OCT-17:30,31-OCT-17:15,05-OCT-16:15,08-OCT-17:45,05-OCT-17:00,07-OCT-17:45,04-OCT-06:00
BLD1PST,,,Nov,01-NOV-17:45,27-NOV-18:15,12-NOV-17:30,19-NOV-17:30,20-NOV-12:00,10-NOV-16:45,02-NOV-17:00,04-NOV-17:15,01-NOV-17:15,04-NOV-17:00,02-NOV-17:30,04-NOV-17:15,02-NOV-17:15,21-NOV-18:45,08-NOV-18:45,14-NOV-08:30
BLD1PST,,,Dec,15-DEC-18:15,02-DEC-18:00,11-DEC-17:30,04-DEC-18:45,19-DEC-12:00,05-DEC-12:00,03-DEC-17:45,23-DEC-07:15,08-DEC-16:00,31-DEC-07:45,12-DEC-18:45,21-DEC-16:45,02-DEC-07:15,29-DEC-07:00,26-DEC-07:30,18-DEC-11:15
BLD1PST,,Source Energy,,,,,,,,,,,,,,,,,
BLD1PST,,,Total Source Energy (GJ),"6,470","6,368","5,700","5,867","5,172","6,166","5,107","6,324","6,017","3,892","6,467","5,914","6,583","6,357","6,789","7,857"
BLD1PST,,,Total Source Energy (MJ/m2),"12,658","12,459","11,151","11,478","10,118","12,063","9,991","12,373","11,772","7,614","12,651","11,569","12,879","12,436","13,282","15,371"
BLD1PST,,Water Consumption (m3),,,,,,,,,,,,,,,,,
BLD1PST,,,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Water Systems,"1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36"
BLD1PST,,,Total Building,"1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36"
BLD1PST,,Emissions,,,,,,,,,,,,,,,,,
BLD1PST,,,Carbon Equivalent (kg),"141,686.93","150,583.88","138,713.00","135,313.32","61,654.27","148,147.80","62,968.58","124,090.47","177,432.73","54,437.91","214,648.79","168,432.77","154,428.60","156,784.88","156,167.66","151,476.32"
BLD1PST,,,CO2 (kg),"338,220.84","386,140.25","337,218.58","323,070.99","169,059.72","362,750.57","173,769.69","298,631.20","428,232.43","145,309.08","516,346.54","410,113.78","379,955.69","385,807.08","387,389.87","403,615.74"
BLD1PST,,,NOX (kg),552.80,481.94,523.67,547.69,147.73,546.71,152.59,497.82,686.61,170.61,844.59,642.34,584.73,590.79,582.75,442.97
BLD1PST,,,SO2 (kg),"1,935.85","1,841.96","1,575.27","1,248.66","1,029.98","2,045.04",926.46,"1,253.29","1,614.21",247.79,"2,255.59","1,463.55",782.70,871.85,754.33,"1,603.30"
BLD1PST,,,PM (kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PST,,,Hg (kg),0.0089,0.0053,0.0044,0.0047,0.0006,0.0040,0.0006,0.0052,0.0064,0.0012,0.0070,0.0059,0.0060,0.0063,0.0058,0.0058
BLD1PST,,,Water for Electricity (m3),239.56,628.21,"11,634.20","2,220.43","6,212.89","10,197.50","5,587.81",77.92,"1,678.12","3,269.24",519.14,"1,521.38",514.10,"20,670.10",495.40,321.61
BLD1NEW,,Program,,,,,,,,,,,,,,,,,
BLD1NEW,,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD1NEW,,,Available Fuel Types,"gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity"
BLD1NEW,,,Weighting Factor,21.7,254.0,59.1,267.7,,114.2,13.9,305.9,14.0,24.6,344.2,74.7,74.6,9.6,8.8,0.3
BLD1NEW,,Fabric,,,,,,,weighting factor is for all of 3B,,,,,,,,,,
BLD1NEW,,,Exterior walls,,,,,,,,,,,,,,,,
BLD1NEW,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD1NEW,RvalWall,,R-value (m2·K / W),1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,2.10,2.10,2.10,2.10,2.75,2.75
BLD1NEW,,,Roof,,,,,,,,,,,,,,,,
BLD1NEW,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD1NEW,RvalRoof,,R-value attic floor (m2·K / W),5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,6.52,6.52,6.52,6.52
BLD1NEW,,,Window,,,,,,,,,,,,,,,,
BLD1NEW,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,3.24,3.24,3.24,5.84,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,2.62
BLD1NEW,SHGC,,SHGC,0.25,0.25,0.25,0.25,0.25,0.25,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.49,0.30
BLD1NEW,,,Visible transmittance,0.11,0.11,0.11,0.16,0.16,0.16,0.22,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.41,0.21
BLD1NEW,,,Skylights/TDD,,,,,,,,,,,,,,,,
BLD1NEW,,,U-Factor (W / m2·K),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BLD1NEW,,,SHGC,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BLD1NEW,,,Visible transmittance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BLD1NEW,,,Foundation,,,,,,,,,,,,,,,,
BLD1NEW,,,Foundation Type,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor
BLD1NEW,,,Construction,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade
BLD1NEW,,,R-value (m2·K / W),0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
BLD1NEW,,HVAC,,,,,,,,,,,,,,,,,
BLD1NEW,,,HVAC Sizing,,,,,,,,,,,,,,,,
BLD1NEW,HVAC,,Air Conditioning (kW),93.18,93.78,93.18,93.26,76.19,91.48,63.42,90.64,83.80,69.09,89.67,81.35,89.14,67.79,79.92,53.86
BLD1NEW,,,PSZ-AC_1:1_COOLC DXCOIL,74.09,74.70,74.37,73.60,59.01,72.46,53.92,72.25,67.48,57.09,71.52,66.47,71.46,54.62,68.77,44.27
BLD1NEW,,,PSZ-AC_2:2_COOLC DXCOIL,19.09,19.08,18.82,19.66,17.18,19.02,9.50,18.39,16.32,12.00,18.15,14.88,17.67,13.17,11.15,9.59
BLD1NEW,HEAT,,Heating (kW),140.41,183.61,155.08,197.52,135.87,165.55,147.11,214.97,185.04,177.72,248.78,216.04,266.92,252.15,267.60,319.55
BLD1NEW,,,PSZ-AC_1:1_HEATC,110.65,144.34,122.40,153.86,108.02,129.84,121.57,169.52,141.50,143.21,196.38,165.44,211.77,195.95,214.19,262.67
BLD1NEW,,,PSZ-AC_2:2_HEATC,29.76,39.27,32.67,43.66,27.85,35.71,25.54,45.45,43.54,34.51,52.39,50.60,55.15,56.19,53.42,56.88
BLD1NEW,,,HVAC Efficiency,,,,,,,,,,,,,,,,
BLD1NEW,COP,,Air Conditioning (COP),3.320133773,3.31952511,3.318846849,3.286926624,3.383418229,3.321493109,3.355427874,3.319273054,3.37207049,3.364267966,3.319042707,3.367695625,3.317242475,3.371900832,3.351618141,3.36585564
BLD1NEW,,,PSZ-AC_1:1_COOLC DXCOIL,3.23,3.23,3.23,3.23,3.3,3.23,3.3,3.23,3.3,3.3,3.23,3.3,3.23,3.3,3.3,3.3
BLD1NEW,,,PSZ-AC_2:2_COOLC DXCOIL,3.67,3.67,3.67,3.5,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
BLD1NEW,EffHeat,,Heating Efficiency (%),0.7842388383,0.7842779716,0.7842139887,0.7844204629,0.78409995,0.7843139379,0.7834726824,0.7842287292,0.7847060075,0.7838835213,0.7842121654,0.7846846244,0.784132322,0.7844569655,0.7839922566,0.7835597645
BLD1NEW,,,PSZ-AC_1:1_HEATC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1NEW,,,PSZ-AC_2:2_HEATC,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
BLD1NEW,,,HVAC Control - Economizer,,,,,,,,,,,,,,,,
BLD1NEW,,,PSZ-AC_1:1_FAN,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb
BLD1NEW,,,PSZ-AC_2:2_FAN,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer
BLD1NEW,Fan,,Fan Max Flow Rate (m3/s ),5.64,5.67,5.64,5.64,5.27,5.58,5.24,5.54,6.04,5.27,5.5,5.95,5.48,5.72,5.33,5.14
BLD1NEW,,,DINING EXHAUST FAN,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
BLD1NEW,,,KITCHEN EXHAUST FAN,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
BLD1NEW,,,PSZ-AC_1:1_FAN,2.98,3.01,2.99,2.96,2.69,2.92,2.78,2.91,3.26,2.73,2.88,3.19,2.88,3.03,2.77,2.67
